"","created_on","difficulty","type","hints","answer","problem","lines","technique_used","uploaded"
"0","200928_145910_251580","REG","NOR","24","958471263427836159316592784734625918162789435589314672673248591841957326295163847","008000200020036050310000004034005000100700030000004070600000091000057000095000000","913913913802802802c46c46c46913913913802802802c46c46c46913913913802802802c46c46c46","00000001111","0"
"1","200928_145911_272822","REG","NOR","24","394718562281365974675942813913457628468123759752689341836271495149536287527894136","090008000000060074000940010010000620400000000702000000800271005049500000020000006","913913913802802802c46c46c46913913913802802802c46c46c46913913913802802802c46c46c46","00000001111","0"
"2","200928_145912_453772","MAS","NOR","22","527386149946721385381594762452678931639412578178935426814257693263149857795863214","500006109040720000000000060002000030609000000000005400810200000200140050000000004","913913913802802802c46c46c46913913913802802802c46c46c46913913913802802802c46c46c46","01000011111","0"
"3","200928_145913_723090","MAS","NOR","24","936574128541328976728169543194253687273986415865417239317692854682745391459831762","036000020001020000000160500090000600070080005800407009310000000002040090050000700","913913913802802802c46c46c46913913913802802802c46c46c46913913913802802802c46c46c46","00001011111","0"
"4","200928_145914_800867","REG","NOR","25","692458713143276958785319426327195864518647392469823175974532681851964237236781549","600000000040206000000019026000090800510000000469003070900500080001000207030080000","913913913802802802c46c46c46913913913802802802c46c46c46913913913802802802c46c46c46","00000001111","0"
"5","200928_145915_873293","REG","NOR","24","427963518519748632638512974392851746864327159175496283281635497746189325953274861","000000500509008000030010004300001706000027000000090080000005007746000305000200001","913913913802802802c46c46c46913913913802802802c46c46c46913913913802802802c46c46c46","00000001111","0"
"6","200928_145916_876868","REG","NOR","26","153789642248615739796324158481257963925836471637491285879542316514963827362178594","000700000208000000006024008000000960920000001030401000870500300010003827000100090","913913913802802802c46c46c46913913913802802802c46c46c46913913913802802802c46c46c46","00000001111","0"
"7","200928_145918_000049","REG","NOR","22","652397841937814562841256739784629153563781294129435687418962375276543918395178426","002000000007800560041006700000000000560001004000000087010062000000003908300000000","913913913802802802c46c46c46913913913802802802c46c46c46913913913802802802c46c46c46","00000001111","0"
"8","200928_145919_154330","MAS","NOR","23","794623851536918472812457639981745263327896514645231798178364925459172386263589147","000020001006008070000007000080005060320090000040200700000000005400100086203080000","913913913802802802c46c46c46913913913802802802c46c46c46913913913802802802c46c46c46","00001011111","0"
"9","200928_145920_435693","REG","NOR","26","879415362435276198621938745193564287742183659568729431314892576286357914957641823","809000002030070090000008040003500080040000000008009431000000506200000010057640003","913913913802802802c46c46c46913913913802802802c46c46c46913913913802802802c46c46c46","00000001111","0"
